eps,rho_slack,N_horizon,N_steps,feasible_steps,failed,diff_min,diff_med,diff_max
5e-05,500000000.0,6,14,0,True,0.00038517217547656164,0.00806841743591022,0.012948167748234509
1e-05,1000000000.0,6,14,0,True,0.0003694561221751449,0.006508929378139475,0.01367541364821884
0.0001,100000000.0,6,14,0,True,0.0003621860160094443,0.006669111194570058,0.013822203950008929
